county;InfractionTop1;InfractionTop2;InfractionTop3
OHARE,PARKING/STANDING PROHIBITED ANYTIME,,
AUSTIN,RUSH HOUR PARKING,,
LOOP,RUSH HOUR PARKING,PARKING/STANDING PROHIBITED ANYTIME,EXPIRED METER CENTRAL BUSINESS DISTRICT
ENGLEWOOD,NO CITY STICKER OR IMPROPER DISPLAY,,
LAKE VIEW,REAR AND FRONT PLATE REQUIRED,NO CITY STICKER OR IMPROPER DISPLAY,EXP. METER NON-CENTRAL BUSINESS DISTRICT
HYDE PARK,EXP. METER NON-CENTRAL BUSINESS DISTRICT,,
WEST GARFIELD PARK,RUSH HOUR PARKING,,
NEAR WEST SIDE,REAR AND FRONT PLATE REQUIRED,PARKING/STANDING PROHIBITED ANYTIME,RESIDENTIAL PERMIT PARKING
SOUTH LAWNDALE,EXP. METER NON-CENTRAL BUSINESS DISTRICT,RUSH HOUR PARKING,
WEST TOWN,RUSH HOUR PARKING,EXP. METER NON-CENTRAL BUSINESS DISTRICT,NO CITY STICKER OR IMPROPER DISPLAY
LINCOLN PARK,EXP. METER NON-CENTRAL BUSINESS DISTRICT,PARKING/STANDING PROHIBITED ANYTIME,NO STANDING/PARKING TIME RESTRICTED
LOGAN SQUARE,RUSH HOUR PARKING,,
NEAR NORTH SIDE,RUSH HOUR PARKING,RESIDENTIAL PERMIT PARKING,NO CITY STICKER OR IMPROPER DISPLAY
